key,coupler_extent,C11,C12,C13,C21,C22,C23,C31,C32,C33

clockmon_[100.5__20],"[100.5, 20]",4.5077302971059655e-14,7.87904586267059e-15,3.645803494772585e-16,7.87904586267059e-15,9.8473016972412e-14,3.743254695717571e-14,3.645803494772585e-16,3.743254695717571e-14,1.0277166305393333e-13

clockmon_[102.8__20],"[102.8, 20]",4.522711550286784e-14,8.00309876022938e-15,3.691462782017447e-16,8.00309876022938e-15,9.840907606239667e-14,3.743050258806857e-14,3.691462782017447e-16,3.743050258806857e-14,1.0276947013967408e-13

clockmon_[105.1__20],"[105.1, 20]",4.537826659929403e-14,8.126721709315386e-15,3.737122515571444e-16,8.126721709315386e-15,9.834491519547386e-14,3.742823844031756e-14,3.737122515571444e-16,3.742823844031756e-14,1.027664705893737e-13

clockmon_[107.39999999999999__20],"[107.39999999999999, 20]",4.552689191354589e-14,8.249914264080038e-15,3.784832962900097e-16,8.249914264080038e-15,9.828039438756921e-14,3.742704255777496e-14,3.784832962900097e-16,3.742704255777496e-14,1.0276410437854221e-13

clockmon_[109.69999999999999__20],"[109.69999999999999, 20]",4.567705643766938e-14,8.375710516255697e-15,3.831219517322222e-16,8.375710516255697e-15,9.821485246182306e-14,3.742557755528274e-14,3.831219517322222e-16,3.742557755528274e-14,1.0276121134490015e-13

clockmon_[112.0__20],"[112.0, 20]",4.582895493483861e-14,8.500490930247014e-15,3.8771268339085283e-16,8.500490930247014e-15,9.814996105336622e-14,3.742354172361387e-14,3.8771268339085283e-16,3.742354172361387e-14,1.0275873192654878e-13

clockmon_[114.3__20],"[114.3, 20]",4.597946707794839e-14,8.623896493362465e-15,3.922695496696969e-16,8.623896493362465e-15,9.808556139971773e-14,3.742114361996952e-14,3.922695496696969e-16,3.742114361996952e-14,1.0275604648831117e-13

clockmon_[116.6__20],"[116.6, 20]",4.613023587494674e-14,8.74724574961894e-15,3.967826371587618e-16,8.74724574961894e-15,9.802196081827612e-14,3.7419218009643523e-14,3.967826371587618e-16,3.7419218009643523e-14,1.0275368612793712e-13

clockmon_[118.89999999999999__20],"[118.89999999999999, 20]",4.6279555578882885e-14,8.87079346659918e-15,4.013732341010614e-16,8.87079346659918e-15,9.795625915965428e-14,3.741630334184044e-14,4.013732341010614e-16,3.741630334184044e-14,1.027514329550798e-13

clockmon_[121.19999999999999__20],"[121.19999999999999, 20]",4.643425076141284e-14,8.995689692699709e-15,4.05934597821531e-16,8.995689692699709e-15,9.789215979734273e-14,3.741511897705676e-14,4.05934597821531e-16,3.741511897705676e-14,1.027487758154363e-13

clockmon_[123.49999999999999__20],"[123.49999999999999, 20]",4.6586307620967326e-14,9.119043098739282e-15,4.104866276711008e-16,9.119043098739282e-15,9.782734973844508e-14,3.7413013563868715e-14,4.104866276711008e-16,3.7413013563868715e-14,1.0274626205743057e-13

clockmon_[125.8__20],"[125.8, 20]",4.674269859614334e-14,9.244326040429933e-15,4.14877908374928e-16,9.244326040429933e-15,9.776365853304095e-14,3.741053349758122e-14,4.14877908374928e-16,3.741053349758122e-14,1.0274558945802296e-13

